"date","open","high","low","close"
"1543510800000",64.75,65,63.5,63.75
"1543424400000",64.25,65,64.25,64.75
"1543338000000",63.5,64.25,63.5,64.25
"1543251600000",63.5,64,63.25,63.25
"1543165200000",63,63.75,62.25,63.75
"1542906000000",61.5,63.25,61.25,63
"1542819600000",61.5,62,61,61.5
"1542733200000",63.5,63.75,62.5,63
"1542646800000",64.75,65,64,64
"1542560400000",64.5,65.5,64.5,65.25
"1542301200000",64.75,65.25,64.5,64.5
"1542214800000",65.5,65.5,64.75,64.75
"1542128400000",65.25,65.5,64.75,65.5
"1542042000000",64.25,65.25,64,65.25
"1541955600000",65,65.25,64.25,64.75
"1541696400000",65.25,65.5,64.5,65
"1541610000000",65.5,66,65.25,65.5
"1541523600000",65.25,65.25,64.5,65
"1541437200000",64.75,65.5,64.5,65.25
"1541350800000",63.75,64.5,63.5,64.5
"1541091600000",64,64.75,63.75,64.25
"1541005200000",64,64.25,63.5,63.75
"1540918800000",62.75,64,62.5,64
"1540832400000",62.25,62.75,61.75,62.5
"1540746000000",61.25,62.5,61.25,62.25
"1540486800000",61.25,61.75,60.5,61
"1540400400000",60.5,62,60,61.75
"1540314000000",61,61.5,60.5,61
"1540141200000",61,61.5,60.75,61.5
"1539882000000",61.75,62,60,61
"1539795600000",62.75,63,61.75,62
"1539709200000",64,64,62.75,62.75
"1539622800000",63.5,63.75,63,63.5
"1539277200000",62.75,64,62.5,63.5
"1539190800000",61.75,62.5,61.25,62.5
"1539104400000",62.5,63.25,62.5,63
"1539018000000",62.5,62.75,62,62.25
"1538931600000",63,63.5,62,62.25
"1538672400000",63,63.5,62.75,63
"1538586000000",64.25,64.5,63.25,63.5
"1538499600000",64.75,64.75,64.25,64.25
"1538413200000",64.75,65,64,64.5
"1538326800000",65.5,65.75,64.75,65
"1538067600000",65.25,65.5,64.75,65.5
"1537981200000",64.75,65.5,64.25,65.25
"1537894800000",66.25,66.5,64.5,65
"1537808400000",66.25,66.75,66,66.5
"1537722000000",66.25,66.5,66,66
"1537462800000",66.5,67.25,66,66.5
"1537376400000",66.25,66.75,66.25,66.25
"1537290000000",66.25,66.75,66,66
"1537203600000",64.25,66.5,64.25,66
"1537117200000",64.5,64.75,64,64.5
"1536858000000",64.75,65.25,64.5,64.5
"1536771600000",63,65.25,62.75,64.5
"1536685200000",61.5,62.5,60.75,62.25
"1536598800000",64.5,65,62,62
"1536512400000",64.5,64.75,64,64.25
"1536253200000",65.25,65.5,64.5,64.75
"1536166800000",65,65.75,64.5,65.5
"1536080400000",65,65.5,64.5,65
"1535994000000",66.75,66.75,65.25,65.5
"1535907600000",66.75,67,66.25,66.5
"1535648400000",66,66.75,66,66.75
"1535562000000",66.25,67,66.25,66.5
"1535475600000",66.25,66.5,66,66.25
"1535389200000",66.25,66.5,66,66
"1535302800000",66.25,66.5,66,66.25
"1535043600000",65.75,66.25,65.5,65.75
"1534957200000",66,66.5,65.75,66
"1534870800000",65.75,66.25,65.25,65.5
"1534784400000",65,66.5,65,65.5
"1534698000000",65,65.5,64.75,65
"1534438800000",65,65.5,64.5,64.5
"1534352400000",64.75,65,64,64.75
"1534266000000",65,65.25,64.75,64.75
"1534179600000",65.25,65.5,64.5,65.5
"1533834000000",65.5,66,65.25,65.5
"1533747600000",66.25,66.5,65.5,65.5
"1533661200000",65.25,66.25,65.25,66.25
"1533574800000",65.5,66.25,65.25,65.5
"1533488400000",66.5,66.5,65.25,65.25
"1533229200000",66,66.5,65.75,66.25
"1533142800000",66.5,66.75,65.25,66
"1533056400000",66.25,67,66,67
"1532970000000",66.25,66.75,65.75,66.25
"1532538000000",66.25,66.75,65.75,66
"1532451600000",65.75,66.5,65.5,65.75
"1532365200000",64.75,65.75,64.25,65.75
"1532278800000",64.25,64.75,63.5,64
"1532019600000",63.25,65,62.75,64.25
"1531933200000",61.25,63.5,60.75,63
"1531846800000",62,62.25,60.75,61
"1531760400000",63,63,60,61.5
"1531674000000",65,65,62.75,63.25
"1531414800000",65,65.75,64.75,65
"1531328400000",64.75,65.5,64.5,64.75
"1531242000000",64.5,65.25,64.25,64.75
"1531155600000",66.75,67,64.25,65.5
"1531069200000",67,68,66.5,66.5
"1530810000000",66.25,67.25,65.25,66.5
"1530723600000",67,67,65.5,66.5
"1530637200000",66.5,68,66.25,67
"1530550800000",64.5,66.75,64.25,66.25
"1530464400000",63,65.25,63,64.75
"1530205200000",63,63.75,61.75,63
"1530118800000",63,64,62.75,63
"1530032400000",64.5,64.5,62.75,63
"1529946000000",63.5,64,62.25,64
"1529859600000",64.75,65,64,64
"1529600400000",64.25,65.5,64,65
"1529514000000",65.5,65.75,63.75,64.25
"1529427600000",65.25,65.75,64.75,65.25
"1529341200000",66.75,67,64.5,65
"1529254800000",67,67.25,66.5,66.75
"1528995600000",67,67.5,66,67.25
"1528909200000",67.5,68,67,67.25
"1528822800000",68.25,68.25,67.25,67.5
"1528736400000",68.5,69,68.25,68.25
"1528650000000",68.25,68.5,68,68.25
"1528390800000",69,69,68.25,68.5
"1528304400000",69.75,70,68.75,69
"1528218000000",70,70,69.5,69.75
"1528131600000",69.75,69.75,69,69.75
"1528045200000",68.5,70.25,68.25,69.75
"1527786000000",68.5,68.75,68,68.5
