"date","open","high","low","close"
"1543510800000",207,210,205,208
"1543424400000",208,210,206,206
"1543338000000",210,211,207,207
"1543251600000",209,210,208,210
"1543165200000",206,209,205,209
"1542906000000",207,208,204,205
"1542819600000",208,209,206,207
"1542733200000",203,208,202,207
"1542646800000",205,206,203,205
"1542560400000",210,210,206,206
"1542301200000",210,211,209,210
"1542214800000",211,212,209,210
"1542128400000",212,214,209,210
"1542042000000",212,216,211,213
"1541955600000",214,215,211,212
"1541696400000",213,215,213,214
"1541610000000",217,218,214,215
"1541523600000",216,217,214,215
"1541437200000",215,216,215,216
"1541350800000",212,216,212,214
"1541091600000",213,215,211,214
"1541005200000",208,212,208,212
"1540918800000",207,209,207,207
"1540832400000",206,209,205,207
"1540746000000",206,209,205,206
"1540486800000",208,208,206,206
"1540400400000",208,209,204,207
"1540314000000",208,211,208,209
"1540141200000",211,211,210,210
"1539882000000",212,213,210,211
"1539795600000",213,213,211,213
"1539709200000",213,214,212,213
"1539622800000",210,212,209,212
"1539277200000",209,210,208,210
"1539190800000",208,210,206,208
"1539104400000",211,212,210,212
"1539018000000",208,211,207,210
"1538931600000",210,211,208,208
"1538672400000",208,210,208,210
"1538586000000",208,210,207,208
"1538499600000",209,210,208,208
"1538413200000",209,211,207,209
"1538326800000",211,212,209,210
"1538067600000",212,213,209,210
"1537981200000",211,212,208,212
"1537894800000",211,212,209,211
"1537808400000",211,212,210,211
"1537722000000",208,212,208,211
"1537462800000",209,210,208,208
"1537376400000",211,212,207,208
"1537290000000",213,214,211,211
"1537203600000",209,214,208,213
"1537117200000",207,210,207,209
"1536858000000",209,212,209,209
"1536771600000",204,210,203,209
"1536685200000",200,202,199,201
"1536598800000",202,204,201,202
"1536512400000",202,203,201,202
"1536253200000",205,205,202,202
"1536166800000",204,206,204,205
"1536080400000",204,205,203,204
"1535994000000",206,207,204,205
"1535907600000",205,207,205,206
"1535648400000",206,207,204,205
"1535562000000",208,209,206,206
"1535475600000",210,210,207,207
"1535389200000",211,211,209,209
"1535302800000",209,210,208,210
"1535043600000",206,208,206,207
"1534957200000",208,208,206,207
"1534870800000",206,208,205,207
"1534784400000",207,208,204,206
"1534698000000",206,207,205,206
"1534438800000",205,206,204,205
"1534352400000",202,205,202,204
"1534266000000",203,203,201,201
"1534179600000",205,206,203,204
"1533834000000",208,208,206,206
"1533747600000",207,209,206,208
"1533661200000",206,208,205,206
"1533574800000",206,207,204,206
"1533488400000",206,207,204,205
"1533229200000",204,206,203,205
"1533142800000",205,206,202,203
"1533056400000",206,206,204,206
"1532970000000",205,207,203,206
"1532538000000",205,205,202,204
"1532451600000",205,206,203,203
"1532365200000",203,205,201,205
"1532278800000",199.5,203,199.5,202
"1532019600000",196,198.5,195.5,197.5
"1531933200000",194.5,195,193,193
"1531846800000",194.5,195.5,194,194
"1531760400000",193,195.5,193,194
"1531674000000",192.5,193.5,192.5,193
"1531414800000",193.5,195,192.5,193
"1531328400000",195.5,196.5,192.5,193
"1531242000000",194,197.5,194,196
"1531155600000",197,198,195.5,197.5
"1531069200000",197.5,198.5,196,197
"1530810000000",194.5,197.5,194.5,197
"1530723600000",196.5,198,194.5,194.5
"1530637200000",195.5,198.5,195.5,196
"1530550800000",197,197,195,196
"1530464400000",195.5,197,193.5,197
"1530205200000",195.5,196,193.5,195.5
"1530118800000",194.5,196,193,194.5
"1530032400000",194,195.5,193.5,194.5
"1529946000000",191.5,194.5,190.5,193.5
"1529859600000",192,193.5,191.5,192.5
"1529600400000",195,195,192.5,192.5
"1529514000000",198,198,193,195
"1529427600000",195.5,197,193.5,197
"1529341200000",195.5,197.5,191.5,195
"1529254800000",198.5,199,197.5,197.5
"1528995600000",198,201,197.5,199.5
"1528909200000",198,199.5,195.5,199.5
"1528822800000",198,198.5,197,198
"1528736400000",197,198.5,196,198
"1528650000000",195.5,196.5,193.5,196.5
"1528390800000",194.5,196,194,195.5
"1528304400000",196,197.5,194.5,195
"1528218000000",195.5,196,194,194.5
"1528131600000",190,195,189.5,195
"1528045200000",189,190.5,188.5,189.5
"1527786000000",189.5,191,188.5,189.5
