"date","open","high","low","close"
"1543510800000",192.5,193.5,190.5,193.5
"1543424400000",193,193,191.5,192
"1543338000000",195,195.5,191.5,191.5
"1543251600000",194,195,193.5,195
"1543165200000",193,194,192.5,193.5
"1542906000000",191.5,193.5,190,192.5
"1542819600000",193.5,195,190.5,190.5
"1542733200000",191,194.5,190.5,193.5
"1542646800000",195.5,195.5,190.5,192
"1542560400000",198,198,196,196.5
"1542301200000",199,199,197,198.5
"1542214800000",200,201,198.5,199
"1542128400000",200,201,199,200
"1542042000000",201,203,200,202
"1541955600000",206,207,201,201
"1541696400000",206,207,205,207
"1541610000000",208,210,205,206
"1541523600000",205,206,203,206
"1541437200000",201,204,201,204
"1541350800000",201,202,199,201
"1541091600000",205,207,203,204
"1541005200000",201,203,199.5,203
"1540918800000",197.5,199.5,196.5,199.5
"1540832400000",199.5,200,196,196.5
"1540746000000",204,205,197.5,199.5
"1540486800000",208,209,205,206
"1540400400000",204,209,203,209
"1540314000000",206,208,205,205
"1540141200000",202,208,202,207
"1539882000000",205,206,202,202
"1539795600000",208,208,206,206
"1539709200000",210,211,207,207
"1539622800000",209,209,205,209
"1539277200000",209,211,208,209
"1539190800000",210,212,208,209
"1539104400000",212,215,211,213
"1539018000000",209,213,209,210
"1538931600000",210,212,209,209
"1538672400000",213,215,210,211
"1538586000000",213,214,212,214
"1538499600000",214,215,213,213
"1538413200000",214,216,213,213
"1538326800000",217,217,214,215
"1538067600000",216,216,214,216
"1537981200000",213,215,212,214
"1537894800000",215,216,213,213
"1537808400000",215,216,213,215
"1537722000000",216,217,214,215
"1537462800000",215,217,214,217
"1537376400000",217,217,213,214
"1537290000000",217,219,216,216
"1537203600000",213,218,210,216
"1537117200000",215,216,211,212
"1536858000000",215,218,215,217
"1536771600000",210,216,209,214
"1536685200000",201,207,201,206
"1536598800000",207,209,201,203
"1536512400000",207,209,205,208
"1536253200000",208,209,207,208
"1536166800000",208,210,207,210
"1536080400000",211,212,207,208
"1535994000000",212,213,210,212
"1535907600000",210,213,210,212
"1535648400000",212,213,210,211
"1535562000000",215,215,212,213
"1535475600000",215,216,213,215
"1535389200000",219,219,215,215
"1535302800000",216,218,216,218
"1535043600000",216,217,215,215
"1534957200000",218,219,216,217
"1534870800000",217,219,216,217
"1534784400000",217,218,215,216
"1534698000000",217,219,215,216
"1534438800000",214,216,213,215
"1534352400000",214,215,212,212
"1534266000000",214,215,213,213
"1534179600000",215,216,212,215
"1533834000000",217,221,217,217
"1533747600000",216,219,216,217
"1533661200000",216,218,214,216
"1533574800000",217,218,213,214
"1533488400000",218,220,216,217
"1533229200000",213,218,212,216
"1533142800000",216,217,210,212
"1533056400000",217,218,213,217
"1532970000000",218,220,216,217
"1532538000000",216,216,213,215
"1532451600000",209,212,208,210
"1532365200000",213,213,206,208
"1532278800000",210,213,208,213
"1532019600000",206,211,204,210
"1531933200000",201,201,198.5,198.5
"1531846800000",199,200,196.5,199.5
"1531760400000",194,197.5,193,197.5
"1531674000000",193,194,192.5,193.5
"1531414800000",195.5,196,194,194.5
"1531328400000",195,196,194,195
"1531242000000",193.5,195,193,195
"1531155600000",193,195.5,191,195.5
"1531069200000",196.5,197.5,193,193.5
"1530810000000",193.5,198,193,197
"1530723600000",197,197.5,194,194.5
"1530637200000",194,197.5,192,197.5
"1530550800000",193.5,195,192.5,194.5
"1530464400000",195,195,190,193
"1530205200000",192,194,190.5,194
"1530118800000",191.5,192.5,189,189.5
"1530032400000",193,194,191,191
"1529946000000",189,194,188.5,193
"1529859600000",192.5,193.5,190,190
"1529600400000",194,195.5,190.5,193
"1529514000000",198,198,194,194
"1529427600000",197,199.5,196,198.5
"1529341200000",198,200,194,195
"1529254800000",199,201,198.5,199.5
"1528995600000",199,202,198,199.5
"1528909200000",199,201,197,200
"1528822800000",198.5,201,197.5,200
"1528736400000",197,203,197,199.5
"1528650000000",195,199,195,197.5
"1528390800000",200,200,194.5,194.5
"1528304400000",204,206,199.5,199.5
"1528218000000",204,206,201,203
"1528131600000",196.5,205,196.5,204
"1528045200000",195,197,194.5,196.5
"1527786000000",192.5,195.5,191.5,195
