"date","open","high","low","close"
"1543510800000",49.5,50,49,49.25
"1543424400000",49.25,50,49.25,49.25
"1543338000000",49,49.5,48.75,49
"1543251600000",48.25,49,48.25,48.75
"1543165200000",48.5,48.75,48.25,48.5
"1542906000000",48.25,49,48,48.75
"1542819600000",48.5,48.75,48,48
"1542733200000",48,48.75,48,48.25
"1542646800000",48.75,49,48.25,48.5
"1542560400000",48.75,49,48.5,48.75
"1542301200000",48.75,49.25,48.5,48.75
"1542214800000",49,49.25,48.5,48.75
"1542128400000",49.5,49.5,48.5,49
"1542042000000",49.5,50.5,49.5,50
"1541955600000",50,50.25,49.75,49.75
"1541696400000",50.25,50.5,49.75,49.75
"1541610000000",50.75,51.25,50.75,50.75
"1541523600000",50.25,50.5,49.5,50.25
"1541437200000",49.5,50.25,49.5,49.75
"1541350800000",49.25,49.5,49,49.25
"1541091600000",49.75,50.25,49.25,49.75
"1541005200000",50.75,51,49.5,49.5
"1540918800000",50,51,49.5,51
"1540832400000",48.75,49.5,48.5,49.25
"1540746000000",48.5,49.5,48.5,48.75
"1540486800000",49.25,49.5,48.25,48.25
"1540400400000",47.75,50,47.75,49.5
"1540314000000",48.75,49.25,48.5,48.5
"1540141200000",50.75,51,50.25,50.25
"1539882000000",50.75,51,50.5,50.5
"1539795600000",50.75,51.5,50.5,51
"1539709200000",51.5,51.75,51,51
"1539622800000",51.5,51.75,51,51
"1539277200000",51.5,52,51,51.5
"1539190800000",51.25,52,50.75,51
"1539104400000",52.75,54,52.75,54
"1539018000000",52,52.5,51.75,52.25
"1538931600000",52.5,53,51.75,51.75
"1538672400000",52.5,53,52.25,52.5
"1538586000000",53.25,53.75,52.5,53
"1538499600000",54.5,54.75,53.25,53.5
"1538413200000",54.75,55.25,54.25,54.5
"1538326800000",54.75,55,54.5,54.75
"1538067600000",54.5,54.5,54,54.25
"1537981200000",54.25,54.5,53,54
"1537894800000",54.25,54.5,54,54.25
"1537808400000",54,54.25,53.75,54
"1537722000000",53.5,54,53.25,54
"1537462800000",53.75,54,53.25,53.75
"1537376400000",53,53.75,52.75,53.5
"1537290000000",52.25,53,52,52.5
"1537203600000",50.75,52.25,50.75,52
"1537117200000",51.5,51.75,50.75,51
"1536858000000",52.25,52.25,51.5,51.75
"1536771600000",50.25,52.25,50.25,52
"1536685200000",49,49.75,48.75,49.5
"1536598800000",50,50.25,48.75,48.75
"1536512400000",50,50.25,49.5,50.25
"1536253200000",50.25,50.25,49.5,50
"1536166800000",50.5,50.5,49.75,50.5
"1536080400000",51.75,52,50.5,50.5
"1535994000000",52.75,53,52.25,52.25
"1535907600000",52.5,52.75,52.25,52.75
"1535648400000",51.75,52.5,51.75,52.5
"1535562000000",52.5,52.75,52,52
"1535475600000",52.5,52.5,52,52.5
"1535389200000",52.25,53,52.25,52.5
"1535302800000",52,52.25,51.75,52
"1535043600000",51.75,52.25,51.5,51.75
"1534957200000",52.25,52.5,51.75,52
"1534870800000",51.75,52.5,51.25,51.75
"1534784400000",52.5,52.75,51.5,51.75
"1534698000000",52,52.5,52,52.25
"1534438800000",51,52,51,51.5
"1534352400000",50.5,50.75,49.5,50.5
"1534266000000",51.5,51.75,50.75,51
"1534179600000",51.5,52,51,51.75
"1533834000000",52.25,52.75,51.75,51.75
"1533747600000",52.5,53,52.5,52.5
"1533661200000",52.25,53,52.25,53
"1533574800000",51.75,52.5,51.25,52.25
"1533488400000",52,52.25,51.25,51.5
"1533229200000",51.75,52.25,51.5,51.75
"1533142800000",52,52.5,51.5,52
"1533056400000",51.25,52.75,50.75,52.5
"1532970000000",51.5,51.75,50.75,51.25
"1532538000000",51.5,51.75,50.75,51.75
"1532451600000",50.25,51.5,50.25,51
"1532365200000",51.25,51.75,50.25,50.25
"1532278800000",51.25,51.5,50.75,51
"1532019600000",49.5,51.5,49.25,51.5
"1531933200000",49.75,50,49,49.5
"1531846800000",48.5,49.75,48.25,49.5
"1531760400000",47.5,48.25,47.25,47.75
"1531674000000",47.25,48,47.25,47.5
"1531414800000",48,48.25,47.5,47.5
"1531328400000",48,48.5,47.75,48
"1531242000000",48,48.75,47.75,48.5
"1531155600000",47,48.75,46.5,48.75
"1531069200000",47,47.25,46.5,47
"1530810000000",46.25,46.5,44.25,46.25
"1530723600000",47.5,47.75,46.25,46.25
"1530637200000",47.5,47.75,47,47.75
"1530550800000",47.75,48,47,47.5
"1530464400000",48,48,47,47.75
"1530205200000",48,48,47.25,48
"1530118800000",48.5,48.5,47.5,47.5
"1530032400000",48.75,49,47.5,48
"1529946000000",47.5,48.25,47.25,48
"1529859600000",48.75,49.25,48,48
"1529600400000",48.25,48.75,47.5,48
"1529514000000",48.75,48.75,47,47.5
"1529427600000",48.5,49,48,48.75
"1529341200000",48.75,49.25,47.5,47.75
"1529254800000",49.25,49.5,48.75,49
"1528995600000",50.5,50.75,49.75,50
"1528909200000",51,51.25,50,51
"1528822800000",51.5,51.75,51,51
"1528736400000",51,52.25,50.75,51.5
"1528650000000",51,51.25,50.5,50.75
"1528390800000",52.5,52.5,51,51
"1528304400000",52.5,52.75,52,52.25
"1528218000000",52,53,52,52.5
"1528131600000",51.75,52.25,51,52
"1528045200000",51.75,52.25,51.25,51.75
"1527786000000",52.25,52.5,51.25,51.5
